isinCd,credit_rating,credit_spread,duration_sensitivity,rating_signal,spread_signal,duration_signal,total_score,available_signals,investment_priority
KR6001792F40,A-,0.7890000000000001,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR6002322F13,BBB+,0.387,중간,YIELD,NEUTRAL,NEUTRAL,-1,3,수익률 중심
KR6002322F54,BBB+,0.6329999999999996,중간,YIELD,YIELD,NEUTRAL,-2,3,수익률 중심
KR6002322G12,BBB+,1.995,중간,YIELD,YIELD,NEUTRAL,-2,3,수익률 중심
KR6002551F31,AA0,0.7736072553045856,,STABLE,YIELD,,0,2,균형형
KR6003342F25,A-,-0.4529999999999998,저민감,NEUTRAL,STABLE,STABLE,2,3,안정성 중심
KR6003342G24,A-,0.6190000000000002,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR6003343F24,A-,0.6220000000000003,저민감,NEUTRAL,YIELD,STABLE,0,3,균형형
KR6003343G72,A-,1.0779999999999998,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR6003412B99,A-,2.501,저민감,NEUTRAL,YIELD,STABLE,0,3,균형형
KR6003492E24,A0,0.3229999999999999,중간,NEUTRAL,NEUTRAL,NEUTRAL,0,3,균형형
KR6003492E65,A0,0.2000000000000001,중간,NEUTRAL,NEUTRAL,NEUTRAL,0,3,균형형
KR6003492EA8,A0,1.0989466119096511,고민감,NEUTRAL,YIELD,YIELD,-2,3,수익률 중심
KR6003492G63,A0,0.8980000000000001,고민감,NEUTRAL,YIELD,YIELD,-2,3,수익률 중심
KR6003493E23,A0,0.8900000000000001,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR6003493F97,A0,0.5309184120465433,고민감,NEUTRAL,YIELD,YIELD,-2,3,수익률 중심
KR6003691D32,AA0,1.2640000000000002,,STABLE,YIELD,,0,2,균형형
KR60040529A4,AA-,-0.8300000000000001,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR6005283F96,AAA,-0.0089999999999998,저민감,STABLE,STABLE,STABLE,3,3,안정성 중심
KR6005831G68,AA0,1.0939999999999994,,STABLE,YIELD,,0,2,균형형
KR6006221E25,A+,1.4749999999999996,,NEUTRAL,YIELD,,-1,2,수익률 중심
KR6008272F69,AA-,0.27,중간,STABLE,NEUTRAL,NEUTRAL,1,3,안정성 중심
KR6009201F22,A-,1.954,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR6011331FB3,BB-,,,YIELD,,,0,1,INSUFFICIENT_DATA
KR6011791G23,A0,0.5219999999999998,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR6023532E16,AA-,0.589,저민감,STABLE,YIELD,STABLE,1,3,안정성 중심
KR6023764E98,A0,1.624,저민감,NEUTRAL,YIELD,STABLE,0,3,균형형
KR6023764F22,A0,3.583,저민감,NEUTRAL,YIELD,STABLE,0,3,균형형
KR6023765F39,A0,-0.125,저민감,NEUTRAL,STABLE,STABLE,2,3,안정성 중심
KR6023766F46,A0,0.7680000000000002,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR602376AG79,A0,1.4979999999999998,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
